sId;sName;sSearchUrl;bUse
ct;iVysílání;https://www.ceskatelevize.cz/ivysilani/hledani/?keyword=#p;1
yt;YouTube;https://www.youtube.com/results?search_query=#p;1
nf;Netflix;https://www.netflix.com/search?q=#p;1
op;OnePlay;https://www.oneplay.cz/vyhledat?query=#p;1
ip;iPrima;https://www.iprima.cz/vyhledavani?q=#p;1
fs;FastShare;https://fastshare.cloud/#m/s;1
pt;Přehraj.to;https://prehraj.to/hledej/#p;1
ws;WebShare;https://webshare.cz/#/search?what=#p;1
gm;gMail;https://mail.google.com/mail/u/0/#inbox;1
wk;Wikipedia;https://cs.wikipedia.org/w/index.php?search=#p;1
cf;ČSFD;https://www.csfd.cz/hledat/?q=#p;1
fm;Filmová místa;https://www.filmovamista.cz/vyhledavani?q=#p&submint=Hledat;1
rs;ReelStreets;https://www.reelstreets.com/?s=#p;1
